per trial

measure                                           ail     control
converged                                        True        True
gate calls to pass                                  3           2
gate calls total                                    3           2
first check that passed                             2           1
tokens harness to agent                          7699        7883
tokens agent to harness                           401         272
tokens total (protocol)                          8100        8155
source edits                                        4           3
reads                                              20          23
distinct diagnostics reached                        1           0
fix cycles (new breakage after an edit)             0           0
rebreaks (fixed then broken again)                  0           0
god-method rejections                               1           0
worst dispatch control-flow complexity              7        None
attempts failing the task specification             0           0
